	sentence	positive	negative
336	... perhaps the heaviest , most joyless movie ever made about giant dragons taking over the world .	0.49400383	0.50599617
29	here 's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you .	0.48939368	0.5106063
239	who knows what exactly godard is on about in this film , but his words and images do n't have to add up to mesmerize you .	0.4844651	0.5155349
1607	the bourne identity is what summer screen escapism used to be in the decades when it was geared more to grownups .	0.52007186	0.47992814
842	both deeply weird and charmingly dear .	0.52721494	0.47278506
1037	the overall feel of the film is pretty cheesy , but there 's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction .	0.53000486	0.46999514
31	so few movies explore religion that it 's disappointing to see one reduce it to an idea that fits in a sampler .	0.4647512	0.53524876
744	a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .	0.45996222	0.54003775
709	marisa tomei is good , but just a kiss is just a mess .	0.5459517	0.45404828
128	plays as hollow catharsis , with lots of tears but very little in the way of insights .	0.55020773	0.44979227
1609	run , do n't walk , to see this barbed and bracing comedy on the big screen .	0.44477695	0.55522305
1616	the filmmakers juggle and juxtapose three story lines but fail to come up with one cogent point , unless it 's that life stinks , especially for sensitive married women who really love other women .	0.56036973	0.43963027
1329	unfortunately , heartbreak hospital wants to convey the same kind of haughtiness in its own sketchy material but this territory has already been explored previously with better aplomb and sardonic wit .	0.43474975	0.5652503
471	as conceived by mr. schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell .	0.571298	0.428702
1383	as weber and weissman demonstrate with such insight and celebratory verve , the cockettes were n't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create .	0.42493567	0.5750643
914	rain is a small treasure , enveloping the viewer in a literal and spiritual torpor that is anything but cathartic .	0.58021456	0.41978544
1631	it dares to be a little different , and that shading is what makes it worthwhile .	0.58630836	0.41369164
1106	like most sequels , it takes what worked last time , repeats it and adds more characters , more stunts , more stuff in attempt to camouflage its sameness .	0.40922675	0.5907732
123	theology aside , why put someone who ultimately does n't learn at the center of a kids ' story ?	0.40278614	0.59721386
1325	but what saves lives on the freeway does not necessarily make for persuasive viewing .	0.60063434	0.39936566
351	if myers decides to make another austin powers movie , maybe he should just stick with austin and dr evil .	0.6051211	0.39487892
1736	all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit .	0.6104969	0.38950312
1690	unfortunately , as a writer , mr. montias is n't nearly as good to his crew as he is as a director or actor .	0.3847297	0.61527026
657	a broadly played , lowbrow comedy in which the cast delivers mildly amusing performances and no farm animals were injured by any of the gags .	0.62130713	0.37869287
1057	shadyac shoots his film like an m. night shyamalan movie , and he frequently maintains the same snail 's pace ; he just forgot to add any genuine tension .	0.6254522	0.37454778
468	opens as promising as any war/adventure film you 'll ever see and dissolves into a routine courtroom drama , better suited for a movie titled `` glory : a soldier 's story . ''	0.63062835	0.36937165
627	stephen earnhart 's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens .	0.6355085	0.36449152
1409	her film is unrelentingly claustrophobic and unpleasant .	0.35920617	0.6407938
1699	it 's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins .	0.35420167	0.6457983
163	not even the hanson brothers can save it	0.34885728	0.6511427
1645	guillen rarely gets beneath the surface of things .	0.6556249	0.34437507
873	fairly successful at faking some pretty cool stunts but a complete failure at trying to create some pretty cool characters .	0.3399314	0.66006863
398	sunshine state lacks the kind of dynamic that limbo offers , and in some ways is a rather indulgent piece .	0.665686	0.334314
1649	roger michell , who did an appealing job directing persuasion and notting hill in england , gets too artsy in his american debut .	0.32978955	0.6702105
1162	some actors have so much charisma that you 'd be happy to listen to them reading the phone book .	0.6758482	0.3241518
1629	you can practically smell the patchouli oil .	0.3197512	0.6802488
1768	feels like six different movies fighting each other for attention .	0.6855975	0.31440252
610	what 's most striking about this largely celebratory film ... is the sense of isolation that permeates these bastions of individuality in an ikea world .	0.6905646	0.30943543
1477	this version incarnates the prophetic book in a way even its exacting author might admire .	0.6950477	0.30495232
637	has a shambling charm ... a cheerfully inconsequential diversion .	0.700303	0.29969698
1155	as expected , sayles ' smart wordplay and clever plot contrivances are as sharp as ever , though they may be overshadowed by some strong performances .	0.70503604	0.29496396
828	when it comes to entertainment , children deserve better than pokemon 4ever .	0.71021515	0.28978485
1338	the tone shifts abruptly from tense to celebratory to soppy .	0.2840948	0.7159052
195	the whole damn thing is ripe for the jerry springer crowd .	0.2796281	0.7203719
1314	as the story moves inexorably through its seven day timeframe , the picture becomes increasingly mesmerizing .	0.7252926	0.27470738
389	it 's the kind of movie you ca n't quite recommend because it is all windup and not much of a pitch , yet you ca n't bring yourself to dislike it .	0.2698671	0.73013294
