	sentence	positive	negative
1293	a romantic comedy that operates by the rules of its own self-contained universe .	0.49460047	0.5053995
29	here 's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you .	0.48939368	0.5106063
239	who knows what exactly godard is on about in this film , but his words and images do n't have to add up to mesmerize you .	0.4844651	0.5155349
1607	the bourne identity is what summer screen escapism used to be in the decades when it was geared more to grownups .	0.52007186	0.47992814
614	a pleasurably jacked-up piece of action moviemaking .	0.47465447	0.52534556
1037	the overall feel of the film is pretty cheesy , but there 's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction .	0.53000486	0.46999514
31	so few movies explore religion that it 's disappointing to see one reduce it to an idea that fits in a sampler .	0.4647512	0.53524876
744	a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .	0.45996222	0.54003775
709	marisa tomei is good , but just a kiss is just a mess .	0.5459517	0.45404828
128	plays as hollow catharsis , with lots of tears but very little in the way of insights .	0.55020773	0.44979227
1609	run , do n't walk , to see this barbed and bracing comedy on the big screen .	0.44477695	0.55522305
106	it 's a worthwhile tutorial in quantum physics and slash-dash	0.56018543	0.43981457
410	matthew mcconaughey tries , and fails , to control the screen with swaggering machismo and over-the-top lunacy .	0.43484446	0.5651555
471	as conceived by mr. schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell .	0.571298	0.428702
1383	as weber and weissman demonstrate with such insight and celebratory verve , the cockettes were n't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create .	0.42493567	0.5750643
914	rain is a small treasure , enveloping the viewer in a literal and spiritual torpor that is anything but cathartic .	0.58021456	0.41978544
837	most impressive , though , is the film 's open-ended finale that refuses to entirely close its characters ' emotional wounds .	0.5850325	0.41496748
1106	like most sequels , it takes what worked last time , repeats it and adds more characters , more stunts , more stuff in attempt to camouflage its sameness .	0.40922675	0.5907732
123	theology aside , why put someone who ultimately does n't learn at the center of a kids ' story ?	0.40278614	0.59721386
623	you 're better off staying home and watching the x-files .	0.39997512	0.6000249
351	if myers decides to make another austin powers movie , maybe he should just stick with austin and dr evil .	0.6051211	0.39487892
1736	all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit .	0.6104969	0.38950312
1690	unfortunately , as a writer , mr. montias is n't nearly as good to his crew as he is as a director or actor .	0.3847297	0.61527026
1525	all the well-meaningness in the world ca n't erase the fact that the believer feels like a 12-step program for the jewish nazi .	0.379447	0.620553
1165	a mix of velocity and idiocy , this ruinous remake lacks the brawn -- and the brains -- of the 1970s original .	0.37496635	0.6250336
1062	a carefully structured scream of consciousness that is tortured and unsettling -- but unquestionably alive .	0.63006294	0.36993706
627	stephen earnhart 's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens .	0.6355085	0.36449152
1409	her film is unrelentingly claustrophobic and unpleasant .	0.35920617	0.6407938
1699	it 's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins .	0.35420167	0.6457983
1261	if you 're not a prepubescent girl , you 'll be laughing at britney spears ' movie-starring debut whenever it does n't have you impatiently squinting at your watch .	0.34914315	0.65085685
1645	guillen rarely gets beneath the surface of things .	0.6556249	0.34437507
873	fairly successful at faking some pretty cool stunts but a complete failure at trying to create some pretty cool characters .	0.3399314	0.66006863
398	sunshine state lacks the kind of dynamic that limbo offers , and in some ways is a rather indulgent piece .	0.665686	0.334314
1649	roger michell , who did an appealing job directing persuasion and notting hill in england , gets too artsy in his american debut .	0.32978955	0.6702105
1545	the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .	0.67540205	0.32459795
1629	you can practically smell the patchouli oil .	0.3197512	0.6802488
1768	feels like six different movies fighting each other for attention .	0.6855975	0.31440252
610	what 's most striking about this largely celebratory film ... is the sense of isolation that permeates these bastions of individuality in an ikea world .	0.6905646	0.30943543
1477	this version incarnates the prophetic book in a way even its exacting author might admire .	0.6950477	0.30495232
637	has a shambling charm ... a cheerfully inconsequential diversion .	0.700303	0.29969698
1155	as expected , sayles ' smart wordplay and clever plot contrivances are as sharp as ever , though they may be overshadowed by some strong performances .	0.70503604	0.29496396
828	when it comes to entertainment , children deserve better than pokemon 4ever .	0.71021515	0.28978485
1338	the tone shifts abruptly from tense to celebratory to soppy .	0.2840948	0.7159052
195	the whole damn thing is ripe for the jerry springer crowd .	0.2796281	0.7203719
1314	as the story moves inexorably through its seven day timeframe , the picture becomes increasingly mesmerizing .	0.7252926	0.27470738
389	it 's the kind of movie you ca n't quite recommend because it is all windup and not much of a pitch , yet you ca n't bring yourself to dislike it .	0.2698671	0.73013294
220	not every animated film from disney will become a classic , but forgive me if i 've come to expect more from this studio than some 79-minute after-school `` cartoon '' .	0.26433593	0.73566407
381	it 's an awfully derivative story .	0.259582	0.74041796
654	japan 's premier stylist of sex and blood hits audiences with what may be his most demented film to date .	0.7451562	0.25484377
1571	before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .	0.2498888	0.7501112
181	the angst-ridden , affluent slacker characters are more grating than engaging .	0.24426872	0.7557313
1466	when the plot kicks in , the film loses credibility .	0.23994814	0.76005185
995	what it lacks in originality it makes up for in intelligence and b-grade stylishness .	0.7651973	0.23480272
1557	the movie has very little to offer besides unintentional laughs .	0.22954342	0.77045655
223	john leguizamo may be a dramatic actor -- just not in this movie .	0.22478968	0.7752103
1234	it 's predictable , but it jumps through the expected hoops with style and even some depth .	0.2198735	0.7801265
682	her delivery and timing are flawless .	0.7863754	0.2136246
626	majidi gets uniformly engaging performances from his largely amateur cast .	0.790787	0.20921302
1726	a movie for 11-year-old boys with sports dreams of their own and the preteen girls who worship lil ' bow wow .	0.7951334	0.20486659
249	a marvellous journey from childhood idealism to adolescent self-absorption .	0.8004579	0.1995421
818	another great ` what you do n't see ' is much more terrifying than what you do see thriller , coupled with some arresting effects , incandescent tones and stupendous performances	0.80585307	0.19414693
69	unlike his directorial efforts , la femme nikita and the professional , the transporter lacks besson 's perspective as a storyteller .	0.8106092	0.18939078
622	he simply presents his point of view that ayurveda works .	0.8154302	0.18456978
961	kaufman creates an eerie sense of not only being there at the time of these events but the very night matthew was killed .	0.82006216	0.17993784
848	nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them .	0.1746438	0.8253562
889	leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than two centuries ago .	0.8301652	0.1698348
1710	if nothing else , this movie introduces a promising , unusual kind of psychological horror .	0.83520114	0.16479886
462	now , if it only had a brain .	0.15901312	0.84098685
690	the film is just a big , gorgeous , mind-blowing , breath-taking mess .	0.84505266	0.15494734
876	it might be tempting to regard mr. andrew and his collaborators as oddballs , but mr. earnhart 's quizzical , charming movie allows us to see them , finally , as artists .	0.8502561	0.14974391
1016	looks awfully like one long tourist spot for a mississippi that may never have existed outside of a scriptwriter 's imagination .	0.14462832	0.8553717
419	thoughtful , even stinging at times , and lots of fun .	0.86003876	0.13996124
497	majidi 's poetic love story is a ravishing consciousness-raiser , if a bit draggy at times .	0.865483	0.13451701
393	the spark of special anime magic here is unmistakable and hard to resist .	0.8700732	0.1299268
1480	some of seagal 's action pictures are guilty pleasures , but this one is so formulaic that it seems to be on auto-pilot .	0.12450735	0.87549263
390	whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something .	0.11989336	0.8801066
1682	the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .	0.8858691	0.114130914
1709	an unbelievably fun film just a leading man away from perfection .	0.89066726	0.10933274
1041	a moody horror/thriller elevated by deft staging and the director 's well-known narrative gamesmanship .	0.8950471	0.10495287
1158	if it seems like a minor miracle that its septuagenarian star is young enough to be the nonagenarian filmmaker 's son , more incredible still are the clear-eyed boldness and quiet irony with which actor and director take on life 's urgent questions .	0.9000576	0.099942386
264	will grab your children by the imagination and amaze them and amuse them .	0.90535635	0.09464365
382	the film makes a tragic error by going on for too long , trying to mirror every subsequent event in chinese history : war , revolution , communism , etc. .	0.08994993	0.9100501
38	falters when it takes itself too seriously and when it depends too heavily on its otherwise talented cast to clown in situations that are n't funny .	0.08496356	0.91503644
778	better at putting you to sleep than a sound machine .	0.07989022	0.92010975
258	offensive in the way it exploits the hot-button issue of domestic abuse for cheap thrills and disgusting in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a prop to be cruelly tormented .	0.0749693	0.9250307
1507	and in truth , cruel as it may sound , he makes arnold schwarzenegger look like spencer tracy .	0.06936078	0.9306392
1235	the character is too forced and overwritten to be funny or believable much of the time , and clayburgh does n't always improve the over-the-top mix .	0.06494336	0.9350566
131	strong setup and ambitious goals fade as the film descends into unsophisticated scare tactics and b-film thuggery .	0.05972881	0.9402712
1621	it 's a refreshing change from the self-interest and paranoia that shape most american representations of castro .	0.94506484	0.054935157
1486	a sports movie with action that 's exciting on the field and a story you care about off it .	0.95014536	0.049854636
129	a film that takes you inside the rhythms of its subject : you experience it as you watch .	0.95514905	0.044850945
12	watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it .	0.9600429	0.039957106
227	fuller would surely have called this gutsy and at times exhilarating movie a great yarn .	0.9652726	0.034727395
177	it does n't help that the director and cinematographer stephen kazmierski shoot on grungy video , giving the whole thing a dirty , tasteless feel .	0.029992893	0.9700071
1779	we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer .	0.9752456	0.024754405
788	an enchanting film that presents an audacious tour of the past and takes within its warm embrace the bounties of cultural artifacts inside st. petersburg 's hermitage museum .	0.9800047	0.019995272
733	a compelling journey ... and `` his best friend remembers '' is up there with the finest of specials .	0.98503727	0.014962733
1501	an exciting and involving rock music doc , a smart and satisfying look inside that tumultuous world .	0.99008256	0.009917438
1753	... has virtually no script at all ...	0.004945169	0.99505484
